ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
215071_s_at,6.46E-17,2.90E-21,70.165746,HIST1H2AC,"histone cluster 1, H2ac"
209806_at,3.97E-16,3.57E-20,64.991559,HIST1H2BK,"histone cluster 1, H2bk"
202391_at,6.09E-16,8.75E-20,63.190452,BASP1,brain abundant membrane attached signal protein 1
201121_s_at,6.09E-16,1.09E-19,62.745993,PGRMC1,progesterone receptor membrane component 1
202708_s_at,1.13E-15,2.54E-19,61.086743,HIST2H2BE,"histone cluster 2, H2be"
211074_at,2.17E-15,5.83E-19,59.464277,FOLR1,folate receptor 1
204614_at,7.22E-15,2.27E-18,56.863921,SERPINB2,serpin family B member 2
203414_at,2.09E-14,7.51E-18,54.619364,MMD,monocyte to macrophage differentiation associated
200602_at,3.05E-14,1.23E-17,53.703704,APP,amyloid beta precursor protein
213338_at,4.14E-14,1.86E-17,52.948903,TMEM158,transmembrane protein 158 (gene/pseudogene)
204838_s_at,1.09E-13,5.82E-17,50.873564,MLH3,mutL homolog 3
205896_at,1.09E-13,5.89E-17,50.852074,SLC22A4,solute carrier family 22 member 4
221477_s_at,1.98E-13,1.15E-16,49.647405,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
200665_s_at,3.39E-13,2.13E-16,48.560321,SPARC,secreted protein acidic and cysteine rich
200680_x_at,3.81E-13,2.56E-16,48.23564,HMGB1,high mobility group box 1
214974_x_at,4.83E-13,3.47E-16,47.706325,CXCL5,C-X-C motif chemokine ligand 5
201032_at,6.03E-13,4.60E-16,47.213231,BLCAP,bladder cancer associated protein
214211_at,9.50E-13,7.67E-16,46.325053,FTH1,ferritin heavy chain 1
200736_s_at,1.11E-12,9.42E-16,45.97019,GPX1,glutathione peroxidase 1
200863_s_at,1.33E-12,1.21E-15,45.544083,RAB11A,"RAB11A, member RAS oncogene family"
203680_at,1.33E-12,1.26E-15,45.477035,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
206390_x_at,1.45E-12,1.44E-15,45.247696,PF4,platelet factor 4
212808_at,1.53E-12,1.60E-15,45.066224,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
218999_at,1.53E-12,1.65E-15,45.008578,TMEM140,transmembrane protein 140
206110_at,2.04E-12,2.37E-15,44.393708,HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A,"histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a"
214805_at,2.04E-12,2.38E-15,44.38583,SNORD10///SNORA48///SNORA67///EIF4A1,"small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
217963_s_at,4.07E-12,4.93E-15,43.157978,BEX3,brain expressed X-linked 3
205442_at,4.31E-12,5.53E-15,42.963811,MFAP3L,microfibrillar associated protein 3 like
220607_x_at,4.31E-12,5.61E-15,42.940216,NELFCD,negative elongation factor complex member C/D
205730_s_at,4.67E-12,6.29E-15,42.749629,ABLIM3,actin binding LIM protein family member 3
200867_at,7.36E-12,1.02E-14,41.937551,RNF114,ring finger protein 114
205568_at,7.83E-12,1.12E-14,41.781264,AQP9,aquaporin 9
209447_at,9.53E-12,1.43E-14,41.380533,SYNE1,spectrin repeat containing nuclear envelope protein 1
204115_at,9.53E-12,1.45E-14,41.356287,GNG11,G protein subunit gamma 11
211430_s_at,9.91E-12,1.56E-14,41.245026,MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1,microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
213121_at,1.60E-11,2.60E-14,40.399914,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
203315_at,1.60E-11,2.66E-14,40.364886,NCK2,NCK adaptor protein 2
220088_at,1.85E-11,3.20E-14,40.06543,C5AR1,complement component 5a receptor 1
210075_at,1.85E-11,3.24E-14,40.043603,2-Mar,membrane associated ring-CH-type finger 2
218711_s_at,1.85E-11,3.33E-14,39.99863,SDPR,serum deprivation response
205220_at,2.06E-11,3.80E-14,39.784516,HCAR3,hydroxycarboxylic acid receptor 3
200622_x_at,2.26E-11,4.26E-14,39.598363,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
217764_s_at,2.90E-11,5.59E-14,39.156924,RAB31,"RAB31, member RAS oncogene family"
202948_at,2.99E-11,5.91E-14,39.067861,IL1R1,interleukin 1 receptor type 1
201164_s_at,3.17E-11,6.41E-14,38.938394,PUM1,pumilio RNA binding family member 1
202426_s_at,3.74E-11,7.71E-14,38.639456,RXRA,retinoid X receptor alpha
209911_x_at,3.92E-11,8.26E-14,38.528495,HIST1H2BD,"histone cluster 1, H2bd"
201108_s_at,4.02E-11,8.67E-14,38.452473,THBS1,thrombospondin 1
201120_s_at,4.21E-11,9.40E-14,38.322802,PGRMC1,progesterone receptor membrane component 1
209240_at,4.21E-11,9.44E-14,38.314893,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
217828_at,4.41E-11,1.01E-13,38.208747,SLTM,SAFB like transcription modulator
213737_x_at,4.86E-11,1.15E-13,37.996404,GOLGA8N,golgin A8 family member N
202362_at,4.86E-11,1.16E-13,37.980473,RAP1A,"RAP1A, member of RAS oncogene family"
217895_at,4.86E-11,1.18E-13,37.962107,PTCD3,pentatricopeptide repeat domain 3
202437_s_at,4.92E-11,1.22E-13,37.911056,CYP1B1,cytochrome P450 family 1 subfamily B member 1
217837_s_at,5.01E-11,1.26E-13,37.855314,RNF103-CHMP3///CHMP3,RNF103-CHMP3 readthrough///charged multivesicular body protein 3
222147_s_at,5.07E-11,1.30E-13,37.806485,ACTR5,ARP5 actin-related protein 5 homolog
208636_at,5.43E-11,1.41E-13,37.669245,ACTN1,actinin alpha 1
219434_at,5.50E-11,1.46E-13,37.623542,TREM1,triggering receptor expressed on myeloid cells 1
204785_x_at,6.05E-11,1.63E-13,37.445257,IFNAR2,interferon alpha and beta receptor subunit 2
208690_s_at,6.19E-11,1.70E-13,37.381055,PDLIM1,PDZ and LIM domain 1
204081_at,6.30E-11,1.77E-13,37.31173,NRGN,neurogranin
216212_s_at,6.30E-11,1.78E-13,37.302985,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
213988_s_at,6.46E-11,1.86E-13,37.237398,SAT1,spermidine/spermine N1-acetyltransferase 1
214948_s_at,6.50E-11,1.90E-13,37.20355,TMF1,TATA element modulatory factor 1
336_at,6.57E-11,1.95E-13,37.1629,TBXA2R,thromboxane A2 receptor
210845_s_at,8.43E-11,2.53E-13,36.745301,PLAUR,"plasminogen activator, urokinase receptor"
210778_s_at,8.90E-11,2.72E-13,36.635821,MIR4800///MXD4,microRNA 4800///MAX dimerization protein 4
205128_x_at,9.93E-11,3.07E-13,36.441402,PTGS1,prostaglandin-endoperoxide synthase 1
201221_s_at,1.17E-10,3.67E-13,36.163994,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
208540_x_at,1.23E-10,3.93E-13,36.056186,,
201241_at,1.28E-10,4.14E-13,35.973119,DDX1,DEAD/H-box helicase 1
204319_s_at,1.33E-10,4.37E-13,35.891081,RGS10,regulator of G-protein signaling 10
202377_at,1.38E-10,4.58E-13,35.814662,LEPROT,leptin receptor overlapping transcript
201394_s_at,1.48E-10,5.01E-13,35.675526,RBM5,RNA binding motif protein 5
220143_x_at,1.48E-10,5.04E-13,35.665875,LUC7L,LUC7 like
201059_at,1.68E-10,5.81E-13,35.445985,CTTN,cortactin
210031_at,1.90E-10,6.72E-13,35.218246,CD247,CD247 molecule
210011_s_at,1.90E-10,6.75E-13,35.212158,EWSR1,EWS RNA binding protein 1
212262_at,2.04E-10,7.32E-13,35.08625,QKI,"QKI, KH domain containing RNA binding"
208924_at,2.07E-10,7.52E-13,35.044507,RNF11,ring finger protein 11
203822_s_at,2.12E-10,7.79E-13,34.989275,ELF2,E74 like ETS transcription factor 2
220646_s_at,2.12E-10,7.89E-13,34.968648,KLRF1,killer cell lectin like receptor F1
212798_s_at,2.33E-10,8.77E-13,34.805194,ANKMY2,ankyrin repeat and MYND domain containing 2
221548_s_at,2.75E-10,1.05E-12,34.530804,ILKAP,ILK associated serine/threonine phosphatase
200027_at,3.10E-10,1.20E-12,34.324877,NARS,asparaginyl-tRNA synthetase
204470_at,3.10E-10,1.21E-12,34.310198,CXCL1,C-X-C motif chemokine ligand 1
202361_at,3.16E-10,1.25E-12,34.259782,SEC24C,"SEC24 homolog C, COPII coat complex component"
200875_s_at,3.19E-10,1.28E-12,34.228394,MIR1292///SNORD110///SNORD86///SNORD57///NOP56,"microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein"
222034_at,3.26E-10,1.33E-12,34.167794,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1"
211960_s_at,3.26E-10,1.34E-12,34.157271,RAB7A,"RAB7A, member RAS oncogene family"
220966_x_at,3.26E-10,1.35E-12,34.142554,ARPC5L,actin related protein 2/3 complex subunit 5 like
212287_at,3.26E-10,1.36E-12,34.128407,SUZ12,SUZ12 polycomb repressive complex 2 subunit
206115_at,3.31E-10,1.39E-12,34.090841,EGR3,early growth response 3
204346_s_at,3.42E-10,1.46E-12,34.022907,RASSF1,Ras association domain family member 1
220964_s_at,3.63E-10,1.56E-12,33.91622,RAB1B,"RAB1B, member RAS oncogene family"
208579_x_at,4.08E-10,1.78E-12,33.72075,H2BFS,H2B histone family member S
217917_s_at,4.86E-10,2.14E-12,33.435923,DYNLRB1,dynein light chain roadblock-type 1
200748_s_at,5.26E-10,2.34E-12,33.300399,FTH1,ferritin heavy chain 1
214032_at,5.29E-10,2.37E-12,33.278028,ZAP70,zeta chain of T cell receptor associated protein kinase 70
201470_at,6.55E-10,2.97E-12,32.937542,GSTO1,glutathione S-transferase omega 1
212454_x_at,6.58E-10,3.01E-12,32.916187,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
203508_at,6.66E-10,3.08E-12,32.880588,TNFRSF1B,TNF receptor superfamily member 1B
222131_x_at,6.66E-10,3.11E-12,32.867957,RHOT2,ras homolog family member T2
212061_at,6.67E-10,3.14E-12,32.851541,U2SURP,U2 snRNP associated SURP domain containing
201584_s_at,6.77E-10,3.22E-12,32.813128,DDX39A,DEAD-box helicase 39A
209894_at,7.10E-10,3.41E-12,32.726952,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor
212687_at,7.21E-10,3.49E-12,32.690626,LIMS4///LIMS3///LIMS1,LIM zinc finger domain containing 4///LIM zinc finger domain containing 3///LIM zinc finger domain containing 1
201837_s_at,7.37E-10,3.61E-12,32.642723,SUPT7L,SPT7-like STAGA complex gamma subunit
214093_s_at,7.70E-10,3.80E-12,32.563107,FUBP1,far upstream element binding protein 1
215813_s_at,7.77E-10,3.87E-12,32.534742,PTGS1,prostaglandin-endoperoxide synthase 1
216841_s_at,7.82E-10,3.93E-12,32.513016,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
208634_s_at,8.27E-10,4.19E-12,32.414634,MACF1,microtubule-actin crosslinking factor 1
202006_at,8.85E-10,4.53E-12,32.299084,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
209301_at,9.23E-10,4.78E-12,32.217088,CA2,carbonic anhydrase 2
212030_at,9.23E-10,4.80E-12,32.209454,RBM25,RNA binding motif protein 25
221211_s_at,9.88E-10,5.19E-12,32.093897,MAP3K7CL,MAP3K7 C-terminal like
214073_at,1.14E-09,6.02E-12,31.870568,CTTN,cortactin
203043_at,1.24E-09,6.64E-12,31.723901,ZBED1,zinc finger BED-type containing 1
213535_s_at,1.25E-09,6.73E-12,31.702326,UBE2I,ubiquitin conjugating enzyme E2 I
202983_at,1.29E-09,7.03E-12,31.637321,HLTF,helicase like transcription factor
212036_s_at,1.33E-09,7.30E-12,31.580308,PNN,"pinin, desmosome associated protein"
208662_s_at,1.33E-09,7.36E-12,31.568638,TTC3P1///TTC3,tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
207157_s_at,1.37E-09,7.61E-12,31.519248,GNG5,G protein subunit gamma 5
203082_at,1.40E-09,7.83E-12,31.475876,BMS1,"BMS1, ribosome biogenesis factor"
207414_s_at,1.51E-09,8.51E-12,31.351835,LOC100507472///PCSK6,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6
218315_s_at,1.57E-09,8.97E-12,31.272907,CDK5RAP1,CDK5 regulatory subunit associated protein 1
203246_s_at,1.64E-09,9.40E-12,31.203267,NPRL2,"NPR2-like, GATOR1 complex subunit"
202187_s_at,1.70E-09,9.84E-12,31.13613,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
221989_at,1.96E-09,1.14E-11,30.910422,SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10"
217996_at,1.99E-09,1.17E-11,30.880677,PHLDA1,pleckstrin homology like domain family A member 1
211594_s_at,2.11E-09,1.26E-11,30.766292,MRPL9,mitochondrial ribosomal protein L9
200660_at,2.11E-09,1.26E-11,30.762372,S100A11,S100 calcium binding protein A11
221773_at,2.11E-09,1.27E-11,30.75888,ELK3,"ELK3, ETS transcription factor"
214092_x_at,2.11E-09,1.28E-11,30.749101,SUGP2,SURP and G-patch domain containing 2
200645_at,2.21E-09,1.35E-11,30.667912,GABARAP,GABA type A receptor-associated protein
207550_at,2.21E-09,1.37E-11,30.64907,MPL,"MPL proto-oncogene, thrombopoietin receptor"
214146_s_at,2.21E-09,1.38E-11,30.636047,PPBP,pro-platelet basic protein
