ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
215071_s_at,5.05E-18,2.27E-22,-12.524095,40.05203,-1.2702003,HIST1H2AC,"histone cluster 1, H2ac"
209806_at,9.48E-17,8.51E-21,-11.799651,36.561661,-1.1358806,HIST1H2BK,"histone cluster 1, H2bk"
201121_s_at,3.15E-16,4.24E-20,-11.481251,35.013519,-0.9314937,PGRMC1,progesterone receptor membrane component 1
204614_at,4.22E-16,7.73E-20,-11.362442,34.433926,-3.5004774,SERPINB2,serpin family B member 2
202708_s_at,4.22E-16,9.48E-20,-11.322131,34.237054,-1.292234,HIST2H2BE,"histone cluster 2, H2be"
203414_at,4.64E-14,1.25E-17,-10.362093,29.521963,-0.8884094,MMD,monocyte to macrophage differentiation associated
202391_at,1.16E-13,3.64E-17,-10.152472,28.487685,-1.5006565,BASP1,brain abundant membrane attached signal protein 1
213338_at,1.55E-13,5.70E-17,-10.064599,28.053853,-2.114869,TMEM158,transmembrane protein 158 (gene/pseudogene)
209911_x_at,1.55E-13,6.27E-17,-10.04583,27.961177,-0.7551666,HIST1H2BD,"histone cluster 1, H2bd"
200602_at,1.86E-13,8.33E-17,-9.990246,27.686685,-0.8361413,APP,amyloid beta precursor protein
204838_s_at,2.24E-13,1.18E-16,-9.921382,27.346574,-1.3431164,MLH3,mutL homolog 3
200665_s_at,2.24E-13,1.20E-16,-9.917997,27.329858,-1.4292396,SPARC,secreted protein acidic and cysteine rich
221477_s_at,3.60E-13,2.16E-16,-9.803946,26.766516,-1.3030558,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
203680_at,3.60E-13,2.26E-16,-9.794745,26.721068,-1.2429726,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
206390_x_at,4.00E-13,2.70E-16,-9.760249,26.550675,-1.2741327,PF4,platelet factor 4
206110_at,6.58E-13,4.72E-16,-9.650394,26.008077,-1.5741622,HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A,"histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a"
218999_at,9.75E-13,7.44E-16,-9.561398,25.568576,-0.9612877,TMEM140,transmembrane protein 140
214974_x_at,1.39E-12,1.12E-15,-9.48119,25.172566,-1.7356482,CXCL5,C-X-C motif chemokine ligand 5
201120_s_at,2.35E-12,2.00E-15,-9.366956,24.608775,-1.314116,PGRMC1,progesterone receptor membrane component 1
217963_s_at,2.76E-12,2.48E-15,-9.325115,24.402351,-1.2212178,BEX3,brain expressed X-linked 3
201032_at,2.78E-12,2.62E-15,9.314478,24.34988,0.5084078,BLCAP,bladder cancer associated protein
