ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
211430_s_at,3.83E-07,1.72E-11,-7.7421141,15.22375,-1.85391152,MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1,microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
211074_at,2.73E-05,2.45E-09,6.6584849,10.76027,0.85677114,FOLR1,folate receptor 1
216892_at,7.10E-05,1.02E-08,-6.3379431,9.46979,-1.58312422,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
AFFX-M27830_M_at,7.10E-05,1.27E-08,-6.2883102,9.27167,-1.1994888,,
204838_s_at,8.91E-05,2.00E-08,6.1859632,8.86471,1.02099633,MLH3,mutL homolog 3
215176_x_at,3.80E-04,1.02E-07,-5.8097221,7.38894,-1.07805532,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
211643_x_at,5.79E-04,2.02E-07,-5.6504762,6.77504,-0.70744742,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
218381_s_at,5.79E-04,2.08E-07,-5.6438259,6.74956,-0.44018942,U2AF2,U2 small nuclear RNA auxiliary factor 2
214836_x_at,6.51E-04,2.90E-07,-5.5654842,6.4503,-0.827751,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
218711_s_at,6.51E-04,2.92E-07,5.5634875,6.44269,0.77388967,SDPR,serum deprivation response
214768_x_at,7.26E-04,3.81E-07,-5.4999732,6.20143,-0.89908088,IGKC,immunoglobulin kappa constant
201120_s_at,7.26E-04,4.32E-07,5.4701947,6.08873,1.09576361,PGRMC1,progesterone receptor membrane component 1
214649_s_at,7.26E-04,4.43E-07,5.4644894,6.06717,1.18495017,MTMR2,myotubularin related protein 2
203414_at,7.26E-04,4.56E-07,5.4572305,6.03975,0.5547434,MMD,monocyte to macrophage differentiation associated
206390_x_at,9.54E-04,6.43E-07,5.3750966,5.73066,0.85963095,PF4,platelet factor 4
