ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
211074_at,4.36E-13,1.96E-17,-11.351049,28.8583,-1.4581019,FOLR1,folate receptor 1
202391_at,1.41E-12,1.26E-16,10.88577,27.10076,1.4682287,BASP1,brain abundant membrane attached signal protein 1
208540_x_at,7.49E-11,1.01E-14,9.814733,22.96001,1.0461196,,
200680_x_at,1.15E-10,2.07E-14,-9.641379,22.2789,-0.534554,HMGB1,high mobility group box 1
200660_at,4.75E-10,1.07E-13,9.247111,20.72048,1.2817829,S100A11,S100 calcium binding protein A11
211430_s_at,2.77E-09,7.47E-13,8.782217,18.86897,2.2080177,MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1,microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
222147_s_at,6.44E-09,2.30E-12,-8.514065,17.79586,-0.5889742,ACTR5,ARP5 actin-related protein 5 homolog
208987_s_at,6.44E-09,2.31E-12,-8.513208,17.79242,-1.5272346,KDM2A,lysine demethylase 2A
205896_at,6.72E-09,2.71E-12,8.475132,17.63982,0.9439862,SLC22A4,solute carrier family 22 member 4
217157_x_at,7.75E-09,3.48E-12,8.416367,17.4042,0.7839517,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
210011_s_at,9.28E-09,4.58E-12,-8.350728,17.1409,-0.5432025,EWSR1,EWS RNA binding protein 1
212783_at,9.41E-09,5.07E-12,-8.326818,17.04496,-1.121237,RBBP6,"RB binding protein 6, ubiquitin ligase"
208620_at,1.52E-08,8.90E-12,8.193121,16.50827,0.4540413,PCBP1,poly(rC) binding protein 1
212262_at,1.56E-08,9.80E-12,8.169997,16.41542,0.5834314,QKI,"QKI, KH domain containing RNA binding"
221477_s_at,1.62E-08,1.09E-11,8.144871,16.31451,1.1798401,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
217022_s_at,1.79E-08,1.47E-11,8.074607,16.03229,2.1488455,IGHA2///IGHA1///IGH,immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
214836_x_at,1.79E-08,1.47E-11,8.073952,16.02965,1.018556,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
205568_at,1.79E-08,1.50E-11,8.06866,16.0084,1.5449434,AQP9,aquaporin 9
212808_at,1.79E-08,1.53E-11,-8.065012,15.99375,-0.6581548,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
203508_at,2.13E-08,1.92E-11,8.01098,15.77669,0.8281919,TNFRSF1B,TNF receptor superfamily member 1B
200602_at,2.24E-08,2.12E-11,7.986425,15.67804,0.8209923,APP,amyloid beta precursor protein
212036_s_at,2.24E-08,2.21E-11,-7.976849,15.63957,-0.551332,PNN,"pinin, desmosome associated protein"
201164_s_at,2.89E-08,3.09E-11,-7.897213,15.31964,-0.9911397,PUM1,pumilio RNA binding family member 1
220607_x_at,2.89E-08,3.12E-11,-7.89523,15.31167,-0.4629226,NELFCD,negative elongation factor complex member C/D
200027_at,3.27E-08,3.67E-11,-7.856684,15.15683,-0.4446749,NARS,asparaginyl-tRNA synthetase
221671_x_at,3.53E-08,4.12E-11,7.828815,15.04488,1.0339389,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
221651_x_at,4.50E-08,5.45E-11,7.76244,14.77828,1.0334682,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
200738_s_at,4.89E-08,6.29E-11,7.728389,14.64153,0.4689171,PGK1,phosphoglycerate kinase 1
211643_x_at,4.89E-08,6.50E-11,7.720706,14.61068,0.7687809,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
220742_s_at,4.89E-08,6.58E-11,-7.717662,14.59845,-0.5401215,NGLY1,N-glycanase 1
214805_at,4.94E-08,6.87E-11,-7.70763,14.55817,-1.220861,SNORD10///SNORA48///SNORA67///EIF4A1,"small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
200867_at,5.55E-08,8.00E-11,-7.671418,14.41278,-0.5349937,RNF114,ring finger protein 114
213121_at,5.55E-08,8.21E-11,-7.665056,14.38724,-2.030616,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
215275_at,5.77E-08,8.80E-11,-7.648616,14.32124,-0.8008376,TRAF3IP3,TRAF3 interacting protein 3
